Source Node,Destination Node,Node Type,Flow Capacity,Distance Between Nodes
Río Rímac,PTAP La Atarjea,Water Treatment Plant,800000,1107
Río Rímac,PTAP Huachipa,Water Treatment Plant,800000,3100
Río Rímac,PTAP Chillón,Water Treatment Plant,600000,3955
Río Rímac,PTAP Surco,Water Treatment Plant,300000,2799
Río Rímac,PTAP Puente Piedra,Water Treatment Plant,90000,2055
Río Chillón,PTAP La Atarjea,Water Treatment Plant,500000,2946
Río Chillón,PTAP Chillón,Water Treatment Plant,500000,972
Río Chillón,PTAP Puente Piedra,Water Treatment Plant,90000,1926
Río Lurín,PTAP Huachipa,Water Treatment Plant,300000,4374
Río Lurín,PTAP Surco,Water Treatment Plant,300000,2974
Río Lurín,PTAP Pachacámac,Water Treatment Plant,200000,2486
Río Lurín,PTAP Villa El Salvador,Water Treatment Plant,150000,672
Río Lurín,PTAP San Bartolo,Water Treatment Plant,100000,2414
PTAP La Atarjea,Reservorio de La Atarjea,Storage Tank,500000,1838
PTAP Huachipa,Reservorio de Huachipa,Storage Tank,400000,1751
PTAP Chillón,Reservorio Puente Piedra,Storage Tank,300000,1747
PTAP Surco,Reservorio de Huachipa,Storage Tank,300000,1975
PTAP Pachacámac,Reservorio Villa El Salvador,Storage Tank,200000,1714
PTAP Villa El Salvador,Reservorio Villa El Salvador,Storage Tank,150000,1615
PTAP San Bartolo,Reservorio Villa El Salvador,Storage Tank,100000,1961
PTAP Puente Piedra,Reservorio Puente Piedra,Storage Tank,90000,1642
PTAP Puente Piedra,Reservorios en Ventanilla,Storage Tank,50000,1585
Reservorio de La Atarjea,Estación de Bombeo de Atarjea,Pumping Station,3500,365
Reservorio Puente Piedra,Estación de Bombeo de Puente Piedra,Pumping Station,1500,610
Reservorio Villa El Salvador,Estación de Bombeo de Villa María,Pumping Station,1200,627
Reservorio de Huachipa,Estación de Bombeo de Huachipa,Pumping Station,2000,451
Reservorios en Ventanilla,Estaciones en Ventanilla,Pumping Station,800,710
Estación de Bombeo de Atarjea,Hogar Miraflores 1,Consumption Point,30503,408
Estación de Bombeo de Atarjea,Hogar Miraflores 2,Consumption Point,58309,339
Estación de Bombeo de Atarjea,Hogar Miraflores 3,Consumption Point,51981,438
Estación de Bombeo de Atarjea,Hogar Miraflores 4,Consumption Point,41572,191
Estación de Bombeo de Atarjea,Hogar Miraflores 5,Consumption Point,37087,241
Estación de Bombeo de Atarjea,Hogar Miraflores 6,Consumption Point,41872,186
Estación de Bombeo de Atarjea,Hogar Miraflores 7,Consumption Point,31138,157
Estación de Bombeo de Atarjea,Hogar Miraflores 8,Consumption Point,49399,155
Estación de Bombeo de Atarjea,Hogar Miraflores 9,Consumption Point,56054,348
Estación de Bombeo de Atarjea,Hogar Miraflores 10,Consumption Point,38174,290
Estación de Bombeo de Atarjea,Hogar Miraflores 11,Consumption Point,46160,413
Estación de Bombeo de Atarjea,Hogar Miraflores 12,Consumption Point,23374,221
Estación de Bombeo de Atarjea,Hogar Miraflores 13,Consumption Point,40463,249
Estación de Bombeo de Atarjea,Hogar Miraflores 14,Consumption Point,41290,236
Estación de Bombeo de Atarjea,Hogar Miraflores 15,Consumption Point,46175,188
Estación de Bombeo de Atarjea,Hogar Miraflores 16,Consumption Point,48435,284
Estación de Bombeo de Atarjea,Hogar Miraflores 17,Consumption Point,24289,211
Estación de Bombeo de Atarjea,Hogar Miraflores 18,Consumption Point,52355,169
Estación de Bombeo de Atarjea,Hogar Miraflores 19,Consumption Point,29853,156
Estación de Bombeo de Atarjea,Hogar Miraflores 20,Consumption Point,31333,313
Estación de Bombeo de Atarjea,Hogar Miraflores 21,Consumption Point,40468,373
Estación de Bombeo de Atarjea,Hogar Miraflores 22,Consumption Point,40580,100
Estación de Bombeo de Atarjea,Hogar Miraflores 23,Consumption Point,40708,199
Estación de Bombeo de Atarjea,Hogar Miraflores 24,Consumption Point,29941,384
Estación de Bombeo de Atarjea,Hogar Miraflores 25,Consumption Point,51444,137
Estación de Bombeo de Atarjea,Hogar Miraflores 26,Consumption Point,33965,215
Estación de Bombeo de Atarjea,Hogar Miraflores 27,Consumption Point,56013,416
Estación de Bombeo de Atarjea,Hogar Miraflores 28,Consumption Point,26455,153
Estación de Bombeo de Atarjea,Hogar Miraflores 29,Consumption Point,57428,176
Estación de Bombeo de Atarjea,Hogar Miraflores 30,Consumption Point,26948,175
Estación de Bombeo de Atarjea,Hogar Miraflores 31,Consumption Point,28677,167
Estación de Bombeo de Atarjea,Hogar Miraflores 32,Consumption Point,45948,223
Estación de Bombeo de Atarjea,Hogar Miraflores 33,Consumption Point,46577,299
Estación de Bombeo de Atarjea,Hogar Miraflores 34,Consumption Point,21542,152
Estación de Bombeo de Atarjea,Hogar Miraflores 35,Consumption Point,55045,106
Estación de Bombeo de Atarjea,Hogar Miraflores 36,Consumption Point,36110,195
Estación de Bombeo de Atarjea,Hogar Miraflores 37,Consumption Point,50051,479
Estación de Bombeo de Atarjea,Hogar Miraflores 38,Consumption Point,25780,216
Estación de Bombeo de Atarjea,Hogar Miraflores 39,Consumption Point,23174,304
Estación de Bombeo de Atarjea,Hogar Miraflores 40,Consumption Point,41246,141
Estación de Bombeo de Atarjea,Hogar San Isidro 1,Consumption Point,32372,345
Estación de Bombeo de Atarjea,Hogar San Isidro 2,Consumption Point,36950,117
Estación de Bombeo de Atarjea,Hogar San Isidro 3,Consumption Point,20350,493
Estación de Bombeo de Atarjea,Hogar San Isidro 4,Consumption Point,52124,458
Estación de Bombeo de Atarjea,Hogar San Isidro 5,Consumption Point,45342,158
Estación de Bombeo de Atarjea,Hogar San Isidro 6,Consumption Point,53740,308
Estación de Bombeo de Atarjea,Hogar San Isidro 7,Consumption Point,27113,395
Estación de Bombeo de Atarjea,Hogar San Isidro 8,Consumption Point,33437,461
Estación de Bombeo de Atarjea,Hogar San Isidro 9,Consumption Point,30988,151
Estación de Bombeo de Atarjea,Hogar San Isidro 10,Consumption Point,40613,466
Estación de Bombeo de Atarjea,Hogar San Isidro 11,Consumption Point,55937,359
Estación de Bombeo de Atarjea,Hogar San Isidro 12,Consumption Point,25478,287
Estación de Bombeo de Atarjea,Hogar San Isidro 13,Consumption Point,28081,345
Estación de Bombeo de Atarjea,Hogar San Isidro 14,Consumption Point,23098,178
Estación de Bombeo de Atarjea,Hogar San Isidro 15,Consumption Point,25088,301
Estación de Bombeo de Atarjea,Hogar San Isidro 16,Consumption Point,29542,191
Estación de Bombeo de Atarjea,Hogar San Isidro 17,Consumption Point,30389,357
Estación de Bombeo de Atarjea,Hogar San Isidro 18,Consumption Point,53184,150
Estación de Bombeo de Atarjea,Hogar San Isidro 19,Consumption Point,30315,381
Estación de Bombeo de Atarjea,Hogar San Isidro 20,Consumption Point,48908,259
Estación de Bombeo de Atarjea,Hogar San Isidro 21,Consumption Point,58480,177
Estación de Bombeo de Atarjea,Hogar San Isidro 22,Consumption Point,27388,273
Estación de Bombeo de Atarjea,Hogar San Isidro 23,Consumption Point,22072,341
Estación de Bombeo de Atarjea,Hogar San Isidro 24,Consumption Point,47799,277
Estación de Bombeo de Atarjea,Hogar San Isidro 25,Consumption Point,26010,214
Estación de Bombeo de Atarjea,Hogar San Isidro 26,Consumption Point,43848,181
Estación de Bombeo de Atarjea,Hogar San Isidro 27,Consumption Point,59013,210
Estación de Bombeo de Atarjea,Hogar San Isidro 28,Consumption Point,57097,482
Estación de Bombeo de Atarjea,Hogar San Isidro 29,Consumption Point,58399,258
Estación de Bombeo de Atarjea,Hogar San Isidro 30,Consumption Point,37658,433
Estación de Bombeo de Atarjea,Hogar San Isidro 31,Consumption Point,41005,249
Estación de Bombeo de Atarjea,Hogar San Isidro 32,Consumption Point,27166,227
Estación de Bombeo de Atarjea,Hogar San Isidro 33,Consumption Point,41687,260
Estación de Bombeo de Atarjea,Hogar San Isidro 34,Consumption Point,20843,192
Estación de Bombeo de Atarjea,Hogar San Isidro 35,Consumption Point,51458,339
Estación de Bombeo de Atarjea,Hogar San Isidro 36,Consumption Point,22208,398
Estación de Bombeo de Atarjea,Hogar San Isidro 37,Consumption Point,47902,460
Estación de Bombeo de Atarjea,Hogar San Isidro 38,Consumption Point,58347,294
Estación de Bombeo de Atarjea,Hogar San Isidro 39,Consumption Point,45950,156
Estación de Bombeo de Atarjea,Hogar San Isidro 40,Consumption Point,39558,403
Estación de Bombeo de Atarjea,Hogar Barranco 1,Consumption Point,59615,182
Estación de Bombeo de Atarjea,Hogar Barranco 2,Consumption Point,55773,388
Estación de Bombeo de Atarjea,Hogar Barranco 3,Consumption Point,29272,345
Estación de Bombeo de Atarjea,Hogar Barranco 4,Consumption Point,20257,229
Estación de Bombeo de Atarjea,Hogar Barranco 5,Consumption Point,58900,386
Estación de Bombeo de Atarjea,Hogar Barranco 6,Consumption Point,21861,344
Estación de Bombeo de Atarjea,Hogar Barranco 7,Consumption Point,46864,457
Estación de Bombeo de Atarjea,Hogar Barranco 8,Consumption Point,51405,465
Estación de Bombeo de Atarjea,Hogar Barranco 9,Consumption Point,28188,176
Estación de Bombeo de Atarjea,Hogar Barranco 10,Consumption Point,39237,241
Estación de Bombeo de Atarjea,Hogar Barranco 11,Consumption Point,40156,405
Estación de Bombeo de Atarjea,Hogar Barranco 12,Consumption Point,24716,274
Estación de Bombeo de Atarjea,Hogar Barranco 13,Consumption Point,35263,225
Estación de Bombeo de Atarjea,Hogar Barranco 14,Consumption Point,35482,194
Estación de Bombeo de Atarjea,Hogar Barranco 15,Consumption Point,46359,490
Estación de Bombeo de Atarjea,Hogar Barranco 16,Consumption Point,33753,396
Estación de Bombeo de Atarjea,Hogar Barranco 17,Consumption Point,29949,406
Estación de Bombeo de Atarjea,Hogar Barranco 18,Consumption Point,27205,373
Estación de Bombeo de Atarjea,Hogar Barranco 19,Consumption Point,27880,151
Estación de Bombeo de Atarjea,Hogar Barranco 20,Consumption Point,33714,426
Estación de Bombeo de Atarjea,Hogar Barranco 21,Consumption Point,39755,185
Estación de Bombeo de Atarjea,Hogar Barranco 22,Consumption Point,38405,132
Estación de Bombeo de Atarjea,Hogar Barranco 23,Consumption Point,50884,170
Estación de Bombeo de Atarjea,Hogar Barranco 24,Consumption Point,41244,389
Estación de Bombeo de Atarjea,Hogar Barranco 25,Consumption Point,21897,242
Estación de Bombeo de Atarjea,Hogar Barranco 26,Consumption Point,58810,213
Estación de Bombeo de Atarjea,Hogar Barranco 27,Consumption Point,42594,274
Estación de Bombeo de Atarjea,Hogar Barranco 28,Consumption Point,38082,222
Estación de Bombeo de Atarjea,Hogar Barranco 29,Consumption Point,57512,423
Estación de Bombeo de Atarjea,Hogar Barranco 30,Consumption Point,45406,352
Estación de Bombeo de Atarjea,Hogar Barranco 31,Consumption Point,24237,420
Estación de Bombeo de Atarjea,Hogar Barranco 32,Consumption Point,56994,243
